日付,場所,天気,気温（℃）,芝,観客（人）,チーム名,対戦相手,Home/Away,得点,失点,ゴール期待値,シュート,枠内シュート,PKによるシュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入,総走行距離（m）,スプリント,攻撃回数,チャンス構築率,ボール保持率,シュート_成功率,パス_成功率,クロス_成功率,スローイン_成功率,ドリブル_成功率,タックル_成功率,（被）ゴール期待値,（被）シュート,（被）枠内シュート,（被）PKによるシュート,（被）パス,（被）クロス,（被）直接ＦＫ,（被）間接ＦＫ,（被）ＣＫ,（被）スローイン,（被）ドリブル,（被）タックル,（被）クリア,（被）インターセプト,（被）オフサイド,（被）警告,（被）退場,（被）３０ｍライン進入,（被）ペナルティエリア進入,（被）総走行距離（m）,（被）スプリント,（被）攻撃回数,（被）チャンス構築率,（被）ボール保持率,（被）シュート_成功率,（被）パス_成功率,（被）クロス_成功率,（被）スローイン_成功率,（被）ドリブル_成功率,（被）タックル_成功率,勝ち点
2021-07-03,三協フロンテア柏スタジアム,曇,22.2,全面良芝,3875,横浜Ｆ・マリノス,柏レイソル,Away,2,1,1.153,10,5,0,545,12,13,2,5,20,12,16,24,0,4,0,1,36,8,111586,201,122,8.2,53.0,20.0,79.3,0.0,95.0,58.3,75.0,1.897,14,4,0,392,20,11,3,4,28,4,22,30,1,2,1,0,36,10,112471,171,119,11.8,47.0,7.1,71.9,35.0,92.9,50.0,63.6,3
2021-07-10,ニッパツ三ツ沢球技場,晴,29.3,全面良芝,4873,横浜Ｆ・マリノス,アビスパ福岡,Home,2,0,2.349,19,9,0,591,19,17,3,9,23,12,11,18,1,0,1,0,49,18,124970,211,132,14.4,57.0,5.3,81.7,26.3,100.0,41.7,72.7,0.439,8,1,0,346,15,18,0,7,19,6,20,23,2,3,1,0,31,6,119136,213,122,6.6,43.0,0.0,66.2,6.7,89.5,100.0,55.0,3
2021-07-10,ニッパツ三ツ沢球技場,晴,29.3,全面良芝,4873,アビスパ福岡,横浜Ｆ・マリノス,Away,0,2,0.439,8,1,0,346,15,18,0,7,19,6,20,23,2,3,1,0,31,6,119136,213,122,6.6,43.0,0.0,66.2,6.7,89.5,100.0,55.0,2.349,19,9,0,591,19,17,3,9,23,12,11,18,1,0,1,0,49,18,124970,211,132,14.4,57.0,5.3,81.7,26.3,100.0,41.7,72.7,0
2021-08-06,パナソニック スタジアム 吹田,晴一時雨,26.4,全面良芝,4459,ガンバ大阪,横浜Ｆ・マリノス,Home,2,3,3.012,20,9,1,498,15,11,5,2,19,6,16,12,2,6,1,0,35,19,113653,158,115,17.4,48.9,10.0,80.1,40.0,100.0,33.3,75.0,1.565,19,7,0,564,21,7,6,4,11,7,14,16,2,5,2,0,55,18,117463,169,101,18.8,51.1,15.8,85.5,33.3,100.0,71.4,50.0,0
2021-08-06,パナソニック スタジアム 吹田,晴一時雨,26.4,全面良芝,4459,横浜Ｆ・マリノス,ガンバ大阪,Away,3,2,1.565,19,7,0,564,21,7,6,4,11,7,14,16,2,5,2,0,55,18,117463,169,101,18.8,51.1,15.8,85.5,33.3,100.0,71.4,50.0,3.012,20,9,1,498,15,11,5,2,19,6,16,12,2,6,1,0,35,19,113653,158,115,17.4,48.9,10.0,80.1,40.0,100.0,33.3,75.0,3
2021-08-09,ＩＡＩスタジアム日本平,曇のち雨,27.8,全面良芝,7890,清水エスパルス,横浜Ｆ・マリノス,Home,2,2,1.474,8,4,0,297,5,11,1,2,17,6,18,36,1,1,2,0,11,3,114615,137,97,8.2,35.0,25.0,75.1,40.0,100.0,33.3,55.6,2.443,28,9,0,724,35,13,1,11,24,14,14,11,0,1,2,0,84,29,111373,162,111,25.2,65.0,7.1,87.4,22.9,100.0,64.3,78.6,1
2021-08-09,ＩＡＩスタジアム日本平,曇のち雨,27.8,全面良芝,7890,横浜Ｆ・マリノス,清水エスパルス,Away,2,2,2.443,28,9,0,724,35,13,1,11,24,14,14,11,0,1,2,0,84,29,111373,162,111,25.2,65.0,7.1,87.4,22.9,100.0,64.3,78.6,1.474,8,4,0,297,5,11,1,2,17,6,18,36,1,1,2,0,11,3,114615,137,97,8.2,35.0,25.0,75.1,40.0,100.0,33.3,55.6,1
2021-08-12,ニッパツ三ツ沢球技場,雨のち曇,25.3,全面良芝,4828,横浜Ｆ・マリノス,名古屋グランパス,Home,2,0,1.988,13,4,1,583,18,14,6,4,28,15,15,14,3,2,3,1,46,11,115714,214,122,10.7,59.5,15.4,83.9,11.1,89.3,26.7,66.7,0.382,9,5,0,364,10,20,2,4,24,15,18,11,3,6,2,0,20,8,114504,196,122,7.4,40.5,0.0,73.6,10.0,95.8,60.0,50.0,3
2021-08-12,ニッパツ三ツ沢球技場,雨のち曇,25.3,全面良芝,4828,名古屋グランパス,横浜Ｆ・マリノス,Away,0,2,0.382,9,5,0,364,10,20,2,4,24,15,18,11,3,6,2,0,20,8,114504,196,122,7.4,40.5,0.0,73.6,10.0,95.8,60.0,50.0,1.988,13,4,1,583,18,14,6,4,28,15,15,14,3,2,3,1,46,11,115714,214,122,10.7,59.5,15.4,83.9,11.1,89.3,26.7,66.7,0
2021-08-15,ニッパツ三ツ沢球技場,雨,20.3,全面良芝,4752,横浜Ｆ・マリノス,大分トリニータ,Home,5,1,2.725,20,10,0,718,27,16,2,5,30,10,17,16,1,2,0,0,69,23,128620,266,135,14.8,65.7,25.0,82.6,25.9,93.3,20.0,52.9,1.775,13,3,0,286,14,5,1,7,19,4,26,29,1,2,1,0,19,8,128655,227,124,10.5,34.3,7.7,65.4,21.4,84.2,25.0,73.1,3
2021-08-15,ニッパツ三ツ沢球技場,雨,20.3,全面良芝,4752,大分トリニータ,横浜Ｆ・マリノス,Away,1,5,1.775,13,3,0,286,14,5,1,7,19,4,26,29,1,2,1,0,19,8,128655,227,124,10.5,34.3,7.7,65.4,21.4,84.2,25.0,73.1,2.725,20,10,0,718,27,16,2,5,30,10,17,16,1,2,0,0,69,23,128620,266,135,14.8,65.7,25.0,82.6,25.9,93.3,20.0,52.9,0
2021-08-21,ニッパツ三ツ沢球技場,晴時々曇,27.7,全面良芝,4857,横浜Ｆ・マリノス,ベガルタ仙台,Home,5,0,2.671,21,9,0,804,15,8,3,3,22,9,21,17,1,2,0,0,68,25,131283,246,117,17.9,64.9,23.8,86.7,40.0,95.5,55.6,57.1,0.725,10,2,0,307,15,8,2,5,25,8,16,19,0,3,1,0,22,7,127074,213,126,7.9,35.1,0.0,70.0,26.7,88.0,50.0,62.5,3
2021-08-21,ニッパツ三ツ沢球技場,晴時々曇,27.7,全面良芝,4857,ベガルタ仙台,横浜Ｆ・マリノス,Away,0,5,0.725,10,2,0,307,15,8,2,5,25,8,16,19,0,3,1,0,22,7,127074,213,126,7.9,35.1,0.0,70.0,26.7,88.0,50.0,62.5,2.671,21,9,0,804,15,8,3,3,22,9,21,17,1,2,0,0,68,25,131283,246,117,17.9,64.9,23.8,86.7,40.0,95.5,55.6,57.1,0
2021-08-25,駅前不動産スタジアム,曇,28.5,全面良芝,5907,サガン鳥栖,横浜Ｆ・マリノス,Home,0,4,0.723,9,0,0,318,12,10,2,3,27,6,16,14,2,10,0,1,24,8,112969,173,114,7.9,41.2,0.0,70.8,16.7,66.7,33.3,56.3,1.362,9,4,1,594,11,17,10,4,24,6,9,10,2,2,1,0,40,4,112119,164,112,8.0,58.8,44.4,81.3,0.0,95.8,16.7,55.6,0
2021-08-25,駅前不動産スタジアム,曇,28.5,全面良芝,5907,横浜Ｆ・マリノス,サガン鳥栖,Away,4,0,1.362,9,4,1,594,11,17,10,4,24,6,9,10,2,2,1,0,40,4,112119,164,112,8.0,58.8,44.4,81.3,0.0,95.8,16.7,55.6,0.723,9,0,0,318,12,10,2,3,27,6,16,14,2,10,0,1,24,8,112969,173,114,7.9,41.2,0.0,70.8,16.7,66.7,33.3,56.3,3
2021-08-28,日産スタジアム,晴,29.6,全面良芝,4892,横浜Ｆ・マリノス,鹿島アントラーズ,Home,0,2,0.567,8,2,0,784,24,17,7,4,27,4,13,10,2,5,1,0,71,10,119309,178,124,6.5,68.4,0.0,86.0,4.2,88.9,25.0,53.8,0.46,4,3,0,280,8,10,6,3,17,4,18,29,3,7,0,0,15,6,121611,173,106,3.8,31.6,50.0,63.6,12.5,76.5,50.0,77.8,0
2021-08-28,日産スタジアム,晴,29.6,全面良芝,4892,鹿島アントラーズ,横浜Ｆ・マリノス,Away,2,0,0.46,4,3,0,280,8,10,6,3,17,4,18,29,3,7,0,0,15,6,121611,173,106,3.8,31.6,50.0,63.6,12.5,76.5,50.0,77.8,0.567,8,2,0,784,24,17,7,4,27,4,13,10,2,5,1,0,71,10,119309,178,124,6.5,68.4,0.0,86.0,4.2,88.9,25.0,53.8,3
